Qmin	Rr
9962.852413	0.079828276
9536.296054	0.079854952
9547.283741	0.079881627
8548.10398	0.079908303
9803.52439	0.079988329
7679.979776	0.080015005
7036.426139	0.080041681
7200.360214	0.080068356
7368.113613	0.080095032
8060.546098	0.080121707
6907.970289	0.080148383
7068.911611	0.080175058
6336.400541	0.080201734
7913.394081	0.080228409
7410.659114	0.080255085
5692.891444	0.080281761
5221.858073	0.080308436
6506.463925	0.080335112
6658.050985	0.080361787
5588.962944	0.080388463
6107.159715	0.080415138
4806.373746	0.080441814
4707.774557	0.080468489
5252.010508	0.080495165
4924.019153	0.080521841
4718.629369	0.080548516
4239.417093	0.080575192
4935.372565	0.080601867
4729.50921	0.080628543
4249.192004	0.080655218
4439.257398	0.080681894
4740.414136	0.08070857
3666.84859	0.080735245
3747.960139	0.080761921
3830.865895	0.080788596
3521.99974	0.080815272
4090.749694	0.080841947
4006.831001	0.080868623
3760.930231	0.080895298
3245.502134	0.080921974
3386.770483	0.08094865
3461.686639	0.080975325
3538.259958	0.081002001
3186.252775	0.081028676
3324.942152	0.081055352
3124.485043	0.081082027
3260.48583	0.081108703
3402.40638	0.081135378
3264.24255	0.081162054
3131.689232	0.08118873
3268.003599	0.081215405
3135.297553	0.081242081
3204.651069	0.081268756
3074.517623	0.081295432
2889.158333	0.081322107
3078.060072	0.081348783
2833.149984	0.081375458
2665.410025	0.081402134
2836.414329	0.08142881
2613.739193	0.081455485
2510.490557	0.081482161
2616.750734	0.081508836
2513.383135	0.081535512
2414.098791	0.081562187
2367.299802	0.081588863
2568.979759	0.081615539
2467.499222	0.081642214
2571.939728	0.08166889
2324.082763	0.081695565
2522.080882	0.081722241
2234.848234	0.081748916
2191.524142	0.081775592
2425.2441	0.081802267
2194.049209	0.081828943
2151.516034	0.081855619
2332.125422	0.081882294
2196.577184	0.08190897
2153.995004	0.081935645
2071.291095	0.081962321
2156.476829	0.081988996
2114.672022	0.082015672
2033.477942	0.082042347
2158.961514	0.082069023
2076.066913	0.082095699
1996.3551	0.082122374
2119.547864	0.08214905
2078.45895	0.082175725
1959.909966	0.082202401
2080.853743	0.082229076
2040.514942	0.082255752
1924.130169	0.082282427
2042.866016	0.082309103
1852.38391	0.082335779
1926.347145	0.082362454
1818.567091	0.08238913
1854.51822	0.082415805
1928.566675	0.082442481
1785.367627	0.082469156
1820.662438	0.082495832
1752.774246	0.082522508
1787.424721	0.082549183
1822.760199	0.082575859
1754.793786	0.082602534
1689.36168	0.08262921
1824.860377	0.082655885
1658.520968	0.082682561
1756.815653	0.082709236
1691.308157	0.082735912
1660.43191	0.082762588
1630.119336	0.082789263
1693.256876	0.082815939
1726.730756	0.082842614
1662.345054	0.08286929
1695.207841	0.082895965
1602.204072	0.082922641
1664.260402	0.082949316
1572.954495	0.082975992
