Qmin	Rr
9864.417789	0.104459459
10006.57273	0.104514515
9496.875113	0.10456957
9018.100974	0.104624625
8792.680109	0.10467968
9033.001492	0.104734735
8691.652512	0.10478979
8258.015962	0.104844845
8372.412558	0.1048999
8271.6606	0.104954955
8386.246212	0.10501001
8176.619499	0.105065065
8078.223675	0.10512012
7981.011928	0.105175175
7683.643898	0.10523023
7495.703593	0.105285285
7405.501778	0.10534034
7133.501483	0.105395395
7512.221575	0.10545045
7421.820985	0.105505506
7332.508258	0.105560561
6886.63405	0.105615616
7067.076983	0.105670671
6640.996679	0.105725726
6644.652284	0.105780781
6732.99304	0.105835836
6489.263764	0.105890891
6492.835846	0.105945946
6337.509082	0.106001001
6340.997629	0.106056056
6189.30326	0.106111111
6118.188374	0.106166166
6121.556194	0.106221221
5903.208165	0.106276276
5906.457647	0.106331331
5909.708917	0.106386386
5912.961978	0.106441441
5916.216828	0.106496496
5848.239697	0.106551552
5781.04362	0.106606607
5642.744914	0.106661662
5645.851021	0.106716717
5384.876528	0.106771772
5323.004479	0.106826827
5519.891917	0.106881882
5264.739773	0.106936937
5267.637803	0.106991992
5207.112823	0.107047047
5209.979132	0.107102102
5150.116647	0.107157157
5152.951582	0.107212212
5035.217392	0.107267267
4920.173182	0.107322322
5099.353694	0.107377377
4982.844104	0.107432432
4813.051909	0.107487487
4871.676704	0.107542543
4931.015571	0.107597598
4708.262864	0.107652653
4821.004467	0.107707708
4768.234568	0.107762763
4713.447714	0.107817818
4716.04228	0.107872873
4557.848988	0.107927928
4507.959544	0.107982983
4613.365314	0.108038038
4562.868199	0.108093093
4461.070474	0.108148148
4412.240351	0.108203203
4363.944716	0.108258258
4366.346894	0.108313313
4417.099215	0.108368368
4368.750395	0.108423423
4320.930792	0.108478478
4226.856135	0.108533534
4275.987082	0.108588589
4229.182851	0.108643644
4091.821657	0.108698699
4185.193447	0.108753754
4049.261001	0.108808809
4141.661594	0.108863864
4051.489958	0.108918919
