Qmin	Rr
9640.030006	0.099101367
9888.542509	0.099121374
9645.90038	0.09914138
9902.240048	0.0992014
9195.838368	0.099281427
9201.708742	0.09932144
9438.480496	0.099341447
8980.591318	0.099361454
9933.54871	0.09938146
9688.94979	0.099401467
9217.363073	0.099421474
8771.214643	0.09944148
9698.733747	0.099461487
8998.20244	0.099481494
9229.103821	0.099501501
9004.072815	0.099521507
8360.288458	0.099541514
9009.943189	0.099561521
8790.782557	0.099581527
8577.492298	0.099601534
8166.566113	0.099621541
7970.886977	0.099641547
8585.319464	0.099661554
8804.480096	0.099681561
7784.991798	0.099701567
7786.94859	0.099721574
8385.726745	0.099741581
7984.584517	0.099761587
8186.134027	0.099781594
7248.830966	0.099801601
7250.787758	0.099821607
7800.646129	0.099841614
7614.75095	0.099861621
7616.707742	0.099881627
7618.664533	0.099901634
7260.571714	0.099921641
7262.528506	0.099941647
7264.485297	0.099961654
7816.30046	0.099981661
6763.546709	0.100001667
7448.423685	0.100021674
7450.380476	0.100041681
7452.337267	0.100061687
7454.294059	0.100081694
6612.873775	0.100101701
7105.985197	0.100121707
6775.287457	0.100141714
7109.89878	0.100161721
7111.855571	0.100181727
6466.114423	0.100201734
6622.657732	0.100221741
6624.614523	0.100241747
6785.071414	0.100261754
6787.028206	0.100281761
6953.355471	0.100301767
6630.484897	0.100321774
6632.441688	0.100341781
6327.182236	0.100361787
6039.533907	0.100381794
6481.768754	0.100401801
6638.312062	0.100421807
6640.268854	0.100441814
6485.682336	0.100461821
6487.639128	0.100481827
6047.361072	0.100501834
6338.922985	0.100521841
6340.879776	0.100541847
5777.323865	0.100561854
6196.077215	0.100581861
6344.793359	0.100601867
5916.256051	0.100621874
6199.990798	0.100641881
5652.089218	0.100661887
5920.169634	0.100681894
5654.046009	0.100701901
5787.107822	0.100721907
5528.811362	0.100741914
6064.972194	0.100761921
5530.768154	0.100781927
5659.916383	0.100801934
5792.978196	0.100821941
5409.447089	0.100841947
5794.934987	0.100861954
5411.403881	0.100881961
5665.786757	0.100901967
5798.84857	0.100921974
5667.743549	0.100941981
5540.55211	0.100961987
5669.70034	0.100981994
5178.545709	0.101002001
5419.231046	0.101022007
5180.502501	0.101042014
5421.187838	0.101062021
5182.459292	0.101082027
5423.144629	0.101102034
5184.416083	0.101122041
5425.10142	0.101142047
5186.372875	0.101162054
5427.058212	0.101182061
4961.341868	0.101202067
5307.693939	0.101222074
5074.835767	0.101242081
5190.286457	0.101262087
5076.792559	0.101282094
5192.243249	0.101302101
4857.631926	0.101322107
4967.212242	0.101342114
4859.588718	0.101362121
5196.156831	0.101382127
4755.878776	0.101402134
5082.662933	0.101422141
4971.125825	0.101442147
4863.5023	0.101462154
4973.082617	0.101482161
4656.082416	0.101502167
4759.792358	0.101522174
4658.039208	0.101542181
4867.415883	0.101562187
4976.996199	0.101582194
4659.995999	0.101602201
4763.705941	0.101622207
4763.705941	0.101642214
4661.952791	0.101662221
4765.662733	0.101682227
4663.909582	0.101702234
4663.909582	0.101722241
4564.113223	0.101742247
4665.866373	0.101762254
4769.576315	0.101782261
4566.070014	0.101802267
4667.823165	0.101822274
4470.187237	0.101842281
4376.261252	0.101862287
4669.779956	0.101882294
4472.144029	0.101902301
4378.218044	0.101922307
4286.24885	0.101942314
4474.10082	0.101962321
4571.940388	0.101982327
4380.174835	0.102002334
4476.057612	0.102022341
4476.057612	0.102042347
4200.15003	0.102062354
4290.162432	0.102082361
4478.014403	0.102102367
4384.088418	0.102122374
4202.106821	0.102142381
4292.119224	0.102162387
4116.008002	0.102182394
4386.045209	0.102202401
4294.076015	0.102222407
4117.964793	0.102242414
4117.964793	0.102262421
4206.020404	0.102282427
4033.822765	0.102302434
4119.921584	0.102322441
4119.921584	0.102342447
4207.977195	0.102362454
4035.779556	0.102382461
4121.878376	0.102402467
4121.878376	0.102422474
4209.933987	0.102442481
4037.736347	0.102462487
3955.55111	0.102482494
4123.835167	0.102502501
4039.693139	0.102522508
4039.693139	0.102542514
3957.507902	0.102562521
3877.279456	0.102582528
3877.279456	0.102602534
4041.64993	0.102622541
4041.64993	0.102642548
3959.464693	0.102662554
3879.236247	0.102682561
4043.606721	0.102702568
3961.421484	0.102722574
3961.421484	0.102742581
3802.921384	0.102762588
3881.193039	0.102782594
3881.193039	0.102802601
3963.378276	0.102822608
3728.563313	0.102842614
3883.14983	0.102862621
3804.878176	0.102882628
3804.878176	0.102902634
3885.106621	0.102922641
3885.106621	0.102942648
3730.520104	0.102962654
3806.834967	0.102982661
3806.834967	0.103002668
3658.118824	0.103022674
3658.118824	0.103042681
3658.118824	0.103062688
3732.476895	0.103082694
3732.476895	0.103102701
3587.674335	0.103122708
3587.674335	0.103142714
3587.674335	0.103162721
3660.075615	0.103182728
3734.433687	0.103202734
3660.075615	0.103222741
3519.186637	0.103242748
3519.186637	0.103262754
3589.631126	0.103282761
3662.032406	0.103302768
3662.032406	0.103322774
3521.143429	0.103342781
3521.143429	0.103362788
3521.143429	0.103382794
