2010	2020	2030	2040	2050	2060	2070	2080	2090	2100
0	0	1195.24950000000	4587.62060000000	10298.3091000000	16052.0581000000	18825.3095000000	19233.7862000000	18529.9650000000	23571.8343000000
0	0	471.361600000000	3097.84310000000	6315.87950000000	5725.80980000000	5623.44370000000	5305.13090000000	5405.13470000000	5253.50490000000
0	0	1999.26990000000	5900.00740000000	14644.7790000000	14198.6068000000	15403.6166000000	15984.1859000000	16699.0873000000	17693.1290000000
0	0	447.191300000000	6191.35150000000	13070.7759000000	14163.8322000000	16061.4131000000	15730.8817000000	15995.1644000000	14763.9594000000
0	0	630.986100000000	4359.44860000000	12622.5412000000	19424.1699000000	16158.6568000000	18919.2838000000	21839.5610000000	24493.9029000000
0	0	752.108700000000	4864.98380000000	15883.7184000000	23600.6512000000	26489.2779000000	27009.1195000000	23499.1502000000	18102.8247000000
0	0	852.368900000000	4844.34310000000	15957.9532000000	23380.6593000000	24633.2398000000	22674.8412000000	17021.6091000000	10193.3487000000
0	127.531179600000	1346.42834600000	2723.57661800000	5024.72961300000	7838.34301400000	9554.05948200000	10642.0569600000	12009.8437300000	14254.9575100000
0	200.460682500000	3157.42986000000	12685.7615100000	16862.2586500000	18428.2379400000	18634.1987100000	19403.8492700000	22996.8511900000	29698.2952300000
0	247.267221500000	7628.80212800000	22567.4424600000	28322.4375700000	30750.2178200000	30500.1560000000	27194.2067000000	24632.2154900000	25516.7198100000
0	101.928531700000	1471.08072100000	11368.1097900000	18153.8196200000	20064.1192300000	22363.1016000000	25463.6556200000	27392.5779300000	28459.6909800000
0	0	1396.77559000000	10908.0068200000	17539.1259500000	19206.5174400000	22577.6965300000	25845.1420500000	27835.4707400000	28655.8791400000
0	118.836798800000	2157.63587500000	6818.62584900000	13189.3889200000	16296.2845600000	19630.8593100000	21480.2979400000	20952.3288400000	24805.5458900000
0	118.835654700000	3931.65431200000	15395.1533800000	18608.8757300000	20124.5098900000	23019.5425300000	25304.3533300000	26071.1520900000	27790.6035000000
0	103.042208300000	2915.52495900000	12935.2851700000	16273.4404200000	18049.0776600000	21127.4975500000	23354.4419200000	24523.8897100000	26582.6811700000
0	117.779263100000	2110.61068300000	6364.18370900000	10269.2561000000	13036.6535200000	16738.7273200000	19343.0366700000	19758.1979800000	21996.1908900000
0	118.836798800000	2157.62242700000	6320.98914200000	8102.67503600000	9834.82949400000	13750.2142900000	16854.7510100000	18113.8248400000	19457.3687500000
0	114.490428500000	2073.04015500000	8195.55014400000	14998.8790900000	18252.5771700000	20985.8926500000	22475.4788300000	22098.1779600000	24539.6419700000
0	110.527940100000	2143.37427900000	7461.10854000000	13127.7462400000	16726.8497500000	19853.9697200000	20533.8429200000	20561.0069500000	21236.5941300000
0	33.9607508900000	1502.53083300000	3169.74235200000	3792.35058000000	5151.07265200000	7042.34024400000	7042.13128200000	6390.30833200000	6441.59816800000
0	181.468957100000	2510.51347100000	8466.58710900000	10766.6194200000	12368.7084300000	14600.1113800000	15589.3209700000	16076.1117200000	17904.4603900000
0	0	121.100000000000	2851.70000000000	10321.3000000000	12961.1000000000	15322.3000000000	16993.5000000000	20276	24610.7000000000
0	9.90733333300000	5322.63600000000	12998.7073300000	18096.4666700000	18213.9906700000	21356.0930000000	24687.3990000000	25554.7893300000	26131.6220000000
0	9.90733333300000	1537.08133300000	7363.55766700000	12829.6960000000	16823.2606700000	17875.5500000000	21154.6243300000	25020.0573300000	25736.2490000000
0	0	4308.46011000000	8754.13551400000	11674.3784100000	13412.0565800000	12988.3839100000	12469.0705700000	13154.1729300000	13702.2410200000
0	0	4192.72769100000	8778.21586300000	12062.0789700000	13727.2243500000	13140.9317000000	12537.7606100000	13184.9977400000	13726.2795300000
0	0	2623.17270600000	8557.69633900000	14830.0347200000	21565.6904500000	23318.7643400000	20997.2223800000	16728.3257100000	14603.7636300000
0	0	2548.53223200000	8600.38584200000	15389.4844700000	22015.3084200000	23981.2700300000	21635.6069700000	17250.6283900000	14804.6458400000
0	0	3422.05497100000	10257.0371100000	15820.5624300000	19703.5931500000	16415.2361500000	10976.2731800000	7492.20756800000	7145.23540300000
0	0	2757.56800300000	9029.58311300000	15085.8775000000	19784.2164200000	19770.0321200000	16859.3173400000	14476.2830000000	14353.8912000000
0	0	1841.30466700000	6770.42666700000	14112.1420000000	18651.9850000000	19173.6050000000	16893.2390000000	14518.0163300000	13991.8973300000
0	0	1845.82933300000	5694.96033300000	8602.11000000000	9090.26800000000	10568.5800000000	12510.1680000000	12918.6933300000	13606.9926700000
0	0	3724.05749500000	9928.50507300000	14082.1194800000	17141.3179700000	15363.2686700000	14763.2551700000	15369.5787800000	16719.4470700000
0	0	0	0	0	0	0	0	0	0
0.00795001100000000	1.53092672600000	1416.47298300000	6535.84964700000	14996.4302600000	20358.5719600000	23145.0715000000	27805.0745000000	34939.8126400000	35838.9449200000
0.00795001100000000	1.53090122700000	827.905895100000	7537.65806100000	18540.5523300000	23295.2947400000	26337.0492600000	30227.3274000000	35744.2327800000	38020.1351100000
0.00795001100000000	1.53090122700000	468.847133100000	4245.75950300000	12219.5594600000	20818.4973300000	22569.3964100000	27761.7155000000	35279.7279300000	35766.5408600000
0.00795001100000000	1.53090122700000	468.530368000000	4790.13706600000	12919.3511000000	20220.8842500000	22634.9622600000	27457.2273300000	34379.7415400000	33149.4094800000
0.00795001100000000	1.53090122700000	468.530368000000	6977.74348400000	16569.0975300000	22905.7715000000	25417.6003500000	30294.0203100000	35058.3091300000	37681.9254100000
1.91964000000000e-05	3.04361915600000	78.1889419600000	1551.22106900000	6323.34765600000	10049.0019500000	13660.9677700000	17916.0351600000	23413.1406300000	27086.0996100000
0.00842940900000000	0.882425547000000	385.954132100000	2432.07885700000	7000.74804700000	12896.1962900000	16187.3828100000	17637.0097700000	17400.3671900000	17120.1191400000
0.00842940900000000	0.882199645000000	379.673645000000	2575.68115200000	7637.34521500000	14006.2529300000	17533.0214800000	19117.4355500000	18995.1855500000	18824.3515600000
0.00842940900000000	0.882199645000000	412.003143300000	2105.24707000000	5351.77002000000	8099.10205100000	9482.82910200000	9932.67578100000	9664.41015600000	9590.09960900000
0.00842940900000000	0.882199645000000	424.430175800000	1091.29211400000	1563.88867200000	1778.12268100000	1719.40771500000	1588.66491700000	1382.08642600000	1238.17016600000
0.00842940900000000	0.882893324000000	384.600006100000	2389.90161100000	6507.89697300000	11514.3877000000	14255.9589800000	15726.5566400000	15398.0351600000	14972.6962900000
0.00842940900000000	0.882893324000000	424.265930200000	1063.66845700000	1472.60681200000	1585.61767600000	1481.32885700000	1258.76440400000	1029.84008800000	875.809631300000
0	147.703002900000	2658.74511700000	9339.10644500000	15316.9043000000	16061.7695300000	16464.0878900000	16966.0371100000	16980.8281300000	16984.5527300000
0	198.401992800000	3821.13598600000	11083.6650400000	16392.8164100000	16862.7460900000	16885.1406300000	16967.5449200000	16981.9003900000	16984.3730500000
0	190.932998700000	3585.70092800000	10387.2158200000	16191.7226600000	16674.0703100000	16669.1679700000	16954.8769500000	16980.2011700000	16984.0293000000
0	138.845993000000	2482.47607400000	8961.02636700000	15088.0048800000	15993.3994100000	16499.2617200000	16971.1855500000	16984.9179700000	16986.4179700000
0	0.778000000000000	1591.20500000000	5496.82700000000	10113.7500000000	12686.8600000000	14151.8300000000	14999.5100000000	15437.1600000000	16249.4500000000
0	0.778000000000000	69.6164000000000	3497.44640000000	11387.4126000000	14836.1900000000	16196.9105000000	16365.8473000000	16421.4990000000	16481.8110000000
0	0.778000000000000	69.6164000000000	2773.75900000000	8750.48900000000	12434.0300000000	14045.4800000000	14982.3500000000	15481	16251.8600000000
0	0	849.077900000000	4398.69500000000	7102.45400000000	8190.10000000000	8713.34200000000	8377.72000000000	7363.37600000000	6069.68200000000
0	0	524.805900000000	3429.82900000000	8574.53200000000	13526.7900000000	15404.4600000000	13826.0500000000	10889	7990.27100000000
0	0	1112.95000000000	4330.88900000000	5373.05200000000	5990.40900000000	5762.65500000000	5408.30400000000	5440.26400000000	4602.75100000000
0	0.377000000000000	435	3840	9400	11000	11400	11700	12000	12100
0	2.49000000000000	1020	8130	12800	14100	14800	15400	15700	15900
0	0.702000000000000	694	7170	16800	19900	21000	21700	22200	22500
0	2.18400000000000	1493.03000000000	5171.40900000000	9536.16300000000	12357.9000000000	13884.2200000000	14525.2900000000	15008.5000000000	15958.6600000000
0	15.2442000000000	547.954600000000	3926.68600000000	10761.1100000000	14911.5400000000	15865.8900000000	16129.1500000000	16205.0600000000	16284.4600000000
0	15.2442000000000	796.086300000000	5927.41600000000	12829.6100000000	15288.3800000000	15863.5200000000	16121.6600000000	16218.9500000000	16286.1800000000
0	15.2442000000000	1036.46500000000	8383.81600000000	14705.1100000000	15973.0900000000	16187.6600000000	16191.6900000000	16240.7600000000	16289.7900000000
0	1.69500000000000	101.318600000000	3764.48400000000	11798.4900000000	15089.0900000000	16169.6600000000	16392.3500000000	16402.7700000000	16470.3800000000
0	26.3855000000000	760.906400000000	5900.50500000000	10443.9600000000	12975.7600000000	14354.7900000000	14887.6800000000	15243.8000000000	16081.3200000000
0	10.2546000000000	439.266100000000	3700.88000000000	11313.1800000000	14697.9500000000	15941.0900000000	16125.7400000000	16190.5000000000	16245.7300000000
